First Level Heading,Second Level Heading,Third Level Heading,Definition (Simplified),Definition (Traditional HK)
人口学词典,章节 3 • 人口的分布和分类,351,"构成工作人口的劳动者1 (workers) ，可以区分为就业2 (employed) 人员和失业3 (unemployed) 人员。根据劳动力的概念(350-1*)，通常只把那些在某一具体期间内实际上正在寻找工作4 (seeking work) 的人和临时被解雇人员算作失业人员。区分从未获得过任何工作的人和正在寻找第一份工作的人11 (persons who are looking for their first job或first-time job seekers) 是很重要的。就业人口5 (employed population) 是指当前正在工作领取工资或谋获利润的人。在经济活动人口中，可能有很多人由于国家或当时的经济条件使他们所做的工作分量少于他们通常能够做的和愿意做的分量。在这样情况下，可以用就业不足6 (underemployment) 和部分失业6 (partial unemployment) 来形容。按照有收益的工作者的概念(350-1*)，那些只是偶尔参加经济活动的边际工作者7 (marginal wotkers) 是不算在劳动力以内的。就业人口比8 (employment to population ratio) 是指在工作年龄（通常为15到64岁）的就业人口的比例。不活跃人员9 (inactive persons) 指的是既没有从事任何专业活动，也不在寻找任何就业机会的人。隐性失业10 (hidden unemployment) 或劳动力储备10 (labor reserve) 包括那些虽然没有正式登记失业但正在寻找私人工作的人，以及那些不在工作也没有寻找工作但如果有工作机会找上门则会回应的人。
备注：就业：指一个人从事经济活动这种情况。就业状况是指按是否就业所作的分类。 有时是指劳动力的利用不足。就业不足和利用不足有时也指人们从事低于其胜任水平的工作状况。",章節 3 • 人口的分佈和分類,"構成工作人口的勞動者1 (workers) ，可以區分為就業2 (employed) 人員和失業3 (unemployed) 人員。根據勞動力的概念(350-1*)，通常只把那些在某一具體期間內實際上正在尋找工作4 (seeking work) 的人和臨時被解僱人員算作失業人員。區分從未獲得過任何工作的人和正在尋找第一份工作的人11 (persons who are looking for their first job或first-time job seekers) 是很重要的。就業人口5 (employed population) 是指當前正在工作領取工資或謀獲利潤的人。在經濟活動人口中，可能有很多人由於國家或當時的經濟條件使他們所做的工作分量少於他們通常能夠做的和願意做的分量。在這樣情況下，可以用就業不足6 (underemployment) 和部分失業6 (partial unemployment) 來形容。按照有收益的工作者的概念(350-1*)，那些只是偶爾參加經濟活動的邊際工作者7 (marginal wotkers) 是不算在勞動力以內的。就業人口比8 (employment to population ratio) 是指在工作年齡（通常為15到64歲）的就業人口的比例。不活躍人員9 (inactive persons) 指的是既沒有從事任何專業活動，也不在尋找任何就業機會的人。隱性失業10 (hidden unemployment) 或勞動力儲備10 (labor reserve) 包括那些雖然沒有正式登記失業但正在尋找私人工作的人，以及那些不在工作也沒有尋找工作但如果有工作機會找上門則會回應的人。
備註：就業：指一個人從事經濟活動這種情況。就業狀況是指按是否就業所作的分類。 有時是指勞動力的利用不足。就業不足和利用不足有時也指人們從事低於其勝任水平的工作狀況。"
人口学词典,章节 3 • 人口的分布和分类,352,"工作人口(350-1)的职业分类1 (occupational classification) ，表明工作人口按职业2 (occupation) 划分的情况。工作者所从事工作的相似性，包括所需的技艺和培训的相似性，是用以把职业划分为职业组3 (occupational groups) 或职业类别3 (occupational classes) 的主要标准。
备注：为了可以进行比较，国际劳工局拟订了国际标准职业分类。",章節 3 • 人口的分佈和分類,"工作人口(350-1)的職業分類1 (occupational classification) ，表明工作人口按職業2 (occupation) 劃分的情況。工作者所從事工作的相似性，包括所需的技藝和培訓的相似性，是用以把職業劃分為職業組3 (occupational groups) 或職業類別3 (occupational classes) 的主要標準。
備註：為了可以進行比較，國際勞工局擬訂了國際標準職業分類。"
人口学词典,章节 3 • 人口的分布和分类,353,"劳动人口(350-1)也按工作地位1 (work status) 加以分类。这样的分类把雇主2 (employer) 、雇员3 (employees) 和自营工作者4 (workers on own account) 或称独立工作者4 (independent workers) 区分开。自营工作者是不雇用领取工资的雇员的，但是同雇主一样，他们可以由无报酬的家庭工作者5 (family workers) 或家庭助手5 (family helpers) 协助。后者通常单独划为一类。此外可以把职业类别同地位类别合起来组成社会地位类别6 (social status categories) 。
备注：按工作地位分类[如雇主、雇员等]，在各国的普查中所用名称不同，有用“产业地位”、“雇佣地位”、“行业地位,”、“工作人员类别”等等。 经理尽管其本身是受雇者，有时也算作雇主。",章節 3 • 人口的分佈和分類,"勞動人口(350-1)也按工作地位1 (work status) 加以分類。這樣的分類把僱主2 (employer) 、僱員3 (employees) 和自營工作者4 (workers on own account) 或稱獨立工作者4 (independent workers) 區分開。自營工作者是不僱用領取工資的僱員的，但是同僱主一樣，他們可以由無報酬的家庭工作者5 (family workers) 或家庭助手5 (family helpers) 協助。後者通常單獨劃為一類。此外可以把職業類別同地位類別合起來組成社會地位類別6 (social status categories) 。
備註：按工作地位分類[如僱主、僱員等]，在各國的普查中所用名稱不同，有用“產業地位”、“僱傭地位”、“行業地位,”、“工作人員類別”等等。 經理儘管其本身是受僱者，有時也算作僱主。"
人口学词典,章节 3 • 人口的分布和分类,354,"雇员(353-3)还可以划分出几类。分类之一是家庭工人1 (home workers 或 cottage workers) ，他们在自己家中工作，有时给几个雇主干活。雇员还可以分为体力劳动者2 (manual workers) 和非体力劳动者3 (non-manual workers) 或称文书人员和办公人员3 (clerical and office workers) 。体力劳动者可以按其技艺4 (skill) 进一步划分为有技术工人5 (skilled workers) 、半技术工人6 (semi-skilled workers) 和非技术工人7 (unskilled workers) 。学徒8 (apprentices) 是雇员的一个小类。
备注：雇员的另一种分类法是把他们分为挣工资的人和挣薪水的人。前者是按日或按周领取工资，后者则是按月或者甚至不按固定时期领取工资。美国的统计资料，把职业分为四大类：白领工作人员；蓝领工作人员 [包括手工艺工人、技工和非农场工人]；服务人员；农场工人(参阅356)。 劳力工是从事繁重体力劳动的非技术工人。",章節 3 • 人口的分佈和分類,"僱員(353-3)還可以劃分出幾類。分類之一是家庭工人1 (home workers 或 cottage workers) ，他們在自己家中工作，有時給幾個僱主幹活。僱員還可以分為體力勞動者2 (manual workers) 和非體力勞動者3 (non-manual workers) 或稱文書人員和辦公人員3 (clerical and office workers) 。體力勞動者可以按其技藝4 (skill) 進一步劃分為有技術工人5 (skilled workers) 、半技術工人6 (semi-skilled workers) 和非技術工人7 (unskilled workers) 。學徒8 (apprentices) 是僱員的一個小類。
備註：僱員的另一種分類法是把他們分為掙工資的人和掙薪水的人。前者是按日或按周領取工資，後者則是按月或者甚至不按固定時期領取工資。美國的統計資料，把職業分為四大類：白領工作人員；藍領工作人員 [包括手工藝工人、技工和非農場工人]；服務人員；農場工人(參閲356)。 勞力工是從事繁重體力勞動的非技術工人。"
人口学词典,章节 3 • 人口的分布和分类,355,"雇员(353-3)可以划分为决定政策的经理人员1 (managerial staff) 、执行决定的执行人员2 (executive staff) 和指导技工的督导人员3 (supervisors) 或工头3 (foremen) 。官员(357-5)可以划分为简单或低级职务4 (simple or lower service) （主要针对做苦力的职位，如行政助理、技术助理）、中级职务5 (middle service) （主要针对需要大致相当于完成学徒期的职位，如 编辑、行政秘书）、高级职务6 (upper service) （主要针对需要学士学位或同等学历的职位[行政框架或技术]）和特高级职务7 (senior service) （仅限于拥有硕士学位或同等学历的毕业生）。
备注：在美国，执行人员是指经理人员的成员。",章節 3 • 人口的分佈和分類,"僱員(353-3)可以劃分為決定政策的經理人員1 (managerial staff) 、執行決定的執行人員2 (executive staff) 和指導技工的督導人員3 (supervisors) 或工頭3 (foremen) 。官員(357-5)可以劃分為簡單或低級職務4 (simple or lower service) （主要針對做苦力的職位，如行政助理、技術助理）、中級職務5 (middle service) （主要針對需要大致相當於完成學徒期的職位，如 編輯、行政秘書）、高級職務6 (upper service) （主要針對需要學士學位或同等學歷的職位[行政框架或技術]）和特高級職務7 (senior service) （僅限於擁有碩士學位或同等學歷的畢業生）。
備註：在美國，執行人員是指經理人員的成員。"
人口学词典,章节 3 • 人口的分布和分类,356,"农业中有专门的分类。农人1 (farmers) 或农场经营者1 (farm operators) 种地收益，其中农人可分为有土地的农场主2 (farm-owners) 、向地主租佃的租佃农3 (tenant farmers) 和把收获物的一部分作为使用土地和牲畜报酬的农作物分成的分种农3 (share-croppers) 。农业工人4 (agricultural laborers) 是农人和农场主雇来干活的人。
备注：挣薪水的农场经理通常列为农人。 在苏格兰，对小农场主有时叫作crofter(小农主)。经营很小的农场的农场主，也叫作smallholder(小农)。 农业工人通常分为三类：长工，日工和季节农业工。后一类中通常包括流动工人。",章節 3 • 人口的分佈和分類,"農業中有專門的分類。農人1 (farmers) 或農場經營者1 (farm operators) 種地收益，其中農人可分為有土地的農場主2 (farm-owners) 、向地主租佃的租佃農3 (tenant farmers) 和把收穫物的一部分作為使用土地和牲畜報酬的農作物分成的分種農3 (share-croppers) 。農業工人4 (agricultural laborers) 是農人和農場主僱來幹活的人。
備註：掙薪水的農場經理通常列為農人。 在蘇格蘭，對小農場主有時叫作crofter(小農主)。經營很小的農場的農場主，也叫作smallholder(小農)。 農業工人通常分為三類：長工，日工和季節農業工。後一類中通常包括流動工人。"
人口学词典,章节 3 • 人口的分布和分类,357,"劳动人口也可以按行业1 (industry) 或经济活动部门1 (branch of economic activity) 分类。这一分类系根据每个人工作的公司2 (firm) 或企业2 (establishment) 的性质而定。一般来说，主要划分为农业工作者3 (agricultural workers) 和非农业工作者4 (non-agricultural workers) 。政府雇员5 (government employees) 有时单独列出，而军事人员6 (military personnel) 或武装部队人员6 (members of the armed force) ，通常总要单独列出，但公营企业的雇员，则一般和其他工业人口统计在一起。行业通常分为三个部门：第一产业7 (primary sector) (农业、狩猎业、渔业和采矿业)、第二产业8 (secondary sector) (制造业、建筑业和公用事业)和第三产业9 (tertiary sector) (商业、金融业、交通运输业和服务业)。在发展中国家里，经常把传统部门10 (traditional sector) 单独列出，以别于现代经济部门。
备注：为了能在国际上进行比较，联合国颁布了《经济活动国际标准行业分类》。 民事官员是中央政府的雇员(353-3)。办公人员是公共团体的雇员，但是这一词语有时也用来表示大公司的薪津雇员。通常要把政府雇员同私人工作人员加以区分。",章節 3 • 人口的分佈和分類,"勞動人口也可以按行業1 (industry) 或經濟活動部門1 (branch of economic activity) 分類。這一分類系根據每個人工作的公司2 (firm) 或企業2 (establishment) 的性質而定。一般來説，主要劃分為農業工作者3 (agricultural workers) 和非農業工作者4 (non-agricultural workers) 。政府僱員5 (government employees) 有時單獨列出，而軍事人員6 (military personnel) 或武裝部隊人員6 (members of the armed force) ，通常總要單獨列出，但公營企業的僱員，則一般和其他工業人口統計在一起。行業通常分為三個部門：第一產業7 (primary sector) (農業、狩獵業、漁業和採礦業)、第二產業8 (secondary sector) (製造業、建築業和公用事業)和第三產業9 (tertiary sector) (商業、金融業、交通運輸業和服務業)。在發展中國家裏，經常把傳統部門10 (traditional sector) 單獨列出，以別於現代經濟部門。
備註：為了能在國際上進行比較，聯合國頒佈了《經濟活動國際標準行業分類》。 民事官員是中央政府的僱員(353-3)。辦公人員是公共團體的僱員，但是這一詞語有時也用來表示大公司的薪津僱員。通常要把政府僱員同私人工作人員加以區分。"
人口学词典,章节 3 • 人口的分布和分类,358,"非经济活动人口，可以划分为受抚养者1 (dependents) (350-5)和自我养活者2 (self-supporting persons) 。受抚养者依靠有工资收入的人3 (earners) 或供养者3 (breadwinners) 供养；例如家庭主妇(350-4)和尚未独立生活的子女4 (dependent children) 。自我养活者有足以维持自己生活的收入，他们有靠收租或利息收入生活者5 (rentiers) ；或称独立生活方法者5 (reasons of independent means) ，有退休者或领退休金的人6 (retired persons或pensioners) 。领取公共补助的人7 (persons receiving public assistance) 或公共福利领取者7 (public welfare recipients) 是受抚养者中的特殊一类。没有工作能力的人叫作不能就业的人8 (unemployable) 。非经济活动人口与经济活动人口之比，叫作经济负担比9 (economic dependency ratio) 。
备注：幼年和老年人口对成年人口之比，叫作年龄负担比。",章節 3 • 人口的分佈和分類,"非經濟活動人口，可以劃分為受撫養者1 (dependents) (350-5)和自我養活者2 (self-supporting persons) 。受撫養者依靠有工資收入的人3 (earners) 或供養者3 (breadwinners) 供養；例如家庭主婦(350-4)和尚未獨立生活的子女4 (dependent children) 。自我養活者有足以維持自己生活的收入，他們有靠收租或利息收入生活者5 (rentiers) ；或稱獨立生活方法者5 (reasons of independent means) ，有退休者或領退休金的人6 (retired persons或pensioners) 。領取公共補助的人7 (persons receiving public assistance) 或公共福利領取者7 (public welfare recipients) 是受撫養者中的特殊一類。沒有工作能力的人叫作不能就業的人8 (unemployable) 。非經濟活動人口與經濟活動人口之比，叫作經濟負擔比9 (economic dependency ratio) 。
備註：幼年和老年人口對成年人口之比，叫作年齡負擔比。"
人口学词典,章节 3 • 人口的分布和分类,359,人口可以按照取得生活来源的经济活动部门加以分类，因此受抚养者要按其供养者的类别分类。有的人口是依靠某一经济活动部门为生的人口1 (population dependent on) ，比如依靠农业为生的人口2 (population dependent on agriculture) 。农业人口2 (agricultural population) 和农场人口2 (farm population) 即指依靠农场为生或者依靠农业为生的人，以区别于非农场人口3 (non-farm populations) 或非农业人口3 (non-agricultural population) 。,章節 3 • 人口的分佈和分類,人口可以按照取得生活來源的經濟活動部門加以分類，因此受撫養者要按其供養者的類別分類。有的人口是依靠某一經濟活動部門為生的人口1 (population dependent on) ，比如依靠農業為生的人口2 (population dependent on agriculture) 。農業人口2 (agricultural population) 和農場人口2 (farm population) 即指依靠農場為生或者依靠農業為生的人，以區別於非農場人口3 (non-farm populations) 或非農業人口3 (non-agricultural population) 。
人口学词典,章节 3 • 人口的分布和分类,360,残疾人1 (infirm 或 handicapped) 在统计中通常是分别列出的。他们系按照残废2 (infirmity) 或障碍2 (handicap) 的性质加以分类。身体残废3 (physical infirmities) 或身体障碍3 (physical handicaps) ，如目盲、聋哑等，通常要与精神残废4 (mental infirmities) 或精神障碍4 (mental handicaps) ，如低能、呆傻等，加以区别。,章節 3 • 人口的分佈和分類,殘疾人1 (infirm 或 handicapped) 在統計中通常是分別列出的。他們系按照殘廢2 (infirmity) 或障礙2 (handicap) 的性質加以分類。身體殘廢3 (physical infirmities) 或身體障礙3 (physical handicaps) ，如目盲、聾啞等，通常要與精神殘廢4 (mental infirmities) 或精神障礙4 (mental handicaps) ，如低能、呆傻等，加以區別。
人口学词典,章节 3 • 人口的分布和分类,361,对人的劳动寿命1 (working life) 研究包括对劳动力加入2 (accession to the labor force) 和劳动力退出3 (separation from the labor force) 二方面。加入劳动力者可以分为从未参加过经济活动的人和已经属于经济活动人口的人。退出劳动力者还可以按退出原因分别出，如死亡、退休4 (retirement) 、暂时退出等。这些分析可以按队列进行分析或按时期进行分析。分析中包括进入劳动力率5 (rates of accession to the labor force) 或成为进入劳动力概率6 (probabilities of accession to the labor force) ，退出劳动力率7 (rates of separation from the labor force) 或退出劳动力概率8 (probabilities of separation from the labor force) ；后者还可以按退出原因列出。这些指标都是按年龄或年龄组进行计算的。,章節 3 • 人口的分佈和分類,對人的勞動壽命1 (working life) 研究包括對勞動力加入2 (accession to the labor force) 和勞動力退出3 (separation from the labor force) 二方面。加入勞動力者可以分為從未參加過經濟活動的人和已經屬於經濟活動人口的人。退出勞動力者還可以按退出原因分別出，如死亡、退休4 (retirement) 、暫時退出等。這些分析可以按隊列進行分析或按時期進行分析。分析中包括進入勞動力率5 (rates of accession to the labor force) 或成為進入勞動力概率6 (probabilities of accession to the labor force) ，退出勞動力率7 (rates of separation from the labor force) 或退出勞動力概率8 (probabilities of separation from the labor force) ；後者還可以按退出原因列出。這些指標都是按年齡或年齡組進行計算的。
人口学词典,章节 3 • 人口的分布和分类,362,"这些指标可用来计算分时期的或分队列劳动生命表1 (tables of working life) 。除上段所述的概率外，劳动生命表中还列有加入劳动力时的年龄2 (age at accession to the labor force) 分布和退出劳动力时的年龄3 (age at separation from the labor foroe) 分布(在计算死亡率之前和之后最终都要分原因列出)，加入劳动力的平均年龄4 (mean age at accession to the labor force) 和退出劳动力的平均年龄5 (mean age at separation from the labor force) 。劳动预期寿命6 (expectation of working life) 、总劳动预期寿命7 (gross expectation of working life) (不计死亡的影响)和净劳动预期寿命8 (net expectation of work inglife) (包括死亡的影响)，都表明经济活动人口在各个年龄仍将拥有的平均劳动寿命年数。对于在该年龄进入劳动力的人，劳动预期寿命也就是平均劳动寿命年数9 (mean duration of working life) ；也可以计算出一个把所有年龄都合在一起的指标。
备注：当暂时退出劳动力的人占劳动力总数极少时便可计算这样的劳动生命表，一般来说男性劳动力就是这样的。至于女性，则需要把初次进入劳动力或开始成为劳动力同再次进入劳动力加以区别。",章節 3 • 人口的分佈和分類,"這些指標可用來計算分時期的或分隊列勞動生命表1 (tables of working life) 。除上段所述的概率外，勞動生命表中還列有加入勞動力時的年齡2 (age at accession to the labor force) 分佈和退出勞動力時的年齡3 (age at separation from the labor foroe) 分佈(在計算死亡率之前和之後最終都要分原因列出)，加入勞動力的平均年齡4 (mean age at accession to the labor force) 和退出勞動力的平均年齡5 (mean age at separation from the labor force) 。勞動預期壽命6 (expectation of working life) 、總勞動預期壽命7 (gross expectation of working life) (不計死亡的影響)和淨勞動預期壽命8 (net expectation of work inglife) (包括死亡的影響)，都表明經濟活動人口在各個年齡仍將擁有的平均勞動壽命年數。對於在該年齡進入勞動力的人，勞動預期壽命也就是平均勞動壽命年數9 (mean duration of working life) ；也可以計算出一個把所有年齡都合在一起的指標。
備註：當暫時退出勞動力的人佔勞動力總數極少時便可計算這樣的勞動生命表，一般來説男性勞動力就是這樣的。至於女性，則需要把初次進入勞動力或開始成為勞動力同再次進入勞動力加以區別。"
人口学词典,章节 4 • 死亡和患病,401,"死亡1 (mortality) 研究就是研究死亡对人口的影响。死亡率2 (mortality rate 或 death rate)  是一个一般的名词，就是计算有关死亡3 (death) (133-4)。如果使用死亡率一词而不作任何说明就是指粗死亡率4 (crude death rate) (参阅136—8中对粗率的一般论述)。死亡率通常是一个年率，指的是在一年内死亡人数与同期内可能死亡人数之比。可能死亡人数等于该时期的平均人口数5 (mean population或average population) 。如果人口数量的变化相当均匀，那么往往可以用期中人口数来代替平均人口数，而不会有多大误差。如果所研究的是某一部分人口(101-6)的死亡，则用分组死亡率(134-6)，其中最常见的是分性别年龄死亡率6 (sex-age-specific death rates) 。有时候，也使用不分性别的分年龄死亡率7 (age-specific death rates) 。
备注：当观察时期超过一年时，通常是把每年的人口数再加以平均，以求出平均人口数。也可以用平均人年数(135-7)作为分母。",章節 4 • 死亡和患病,"死亡1 (mortality) 研究就是研究死亡對人口的影響。死亡率2 (mortality rate 或 death rate)  是一個一般的名詞，就是計算有關死亡3 (death) (133-4)。如果使用死亡率一詞而不作任何説明就是指粗死亡率4 (crude death rate) (參閲136—8中對粗率的一般論述)。死亡率通常是一個年率，指的是在一年內死亡人數與同期內可能死亡人數之比。可能死亡人數等於該時期的平均人口數5 (mean population或average population) 。如果人口數量的變化相當均勻，那麼往往可以用期中人口數來代替平均人口數，而不會有多大誤差。如果所研究的是某一部分人口(101-6)的死亡，則用分組死亡率(134-6)，其中最常見的是分性別年齡死亡率6 (sex-age-specific death rates) 。有時候，也使用不分性別的分年齡死亡率7 (age-specific death rates) 。
備註：當觀察時期超過一年時，通常是把每年的人口數再加以平均，以求出平均人口數。也可以用平均人年數(135-7)作為分母。"
人口学词典,章节 4 • 死亡和患病,402,"分组死亡率，可用来研究死亡差别1 (differential mortality) 或不同组别之间的死亡差异1 (mortality differences) ，从而可以了解某一组别与另一组别相比或与其余人口相比，有着超额死亡率2 (excess mortality) 。超额死亡率用超额死亡率指数3 (excess mortality index) 来衡量。对某些职业的死亡差异的研究，称作职业死亡4 (occupational mortality) 研究。职业死亡5 (occupational mortality) 一词，还可以表示由同某一种职业有关的疾病所造成的死亡。这样的疾病，可以叫作职业病6 (occupational diseases) 。
备注：超额男性死亡一词是指与相应的女性死亡(例如，同一年龄)的比较。",章節 4 • 死亡和患病,"分組死亡率，可用來研究死亡差別1 (differential mortality) 或不同組別之間的死亡差異1 (mortality differences) ，從而可以瞭解某一組別與另一組別相比或與其餘人口相比，有着超額死亡率2 (excess mortality) 。超額死亡率用超額死亡率指數3 (excess mortality index) 來衡量。對某些職業的死亡差異的研究，稱作職業死亡4 (occupational mortality) 研究。職業死亡5 (occupational mortality) 一詞，還可以表示由同某一種職業有關的疾病所造成的死亡。這樣的疾病，可以叫作職業病6 (occupational diseases) 。
備註：超額男性死亡一詞是指與相應的女性死亡(例如，同一年齡)的比較。"
人口学词典,章节 4 • 死亡和患病,403,"粗死亡率(401-4)既取决于死亡率水平，也取决于人口的结构[特别是年龄结构(325-6)]。如果要比较不同人口的死亡率，有时需要计算标准化死亡率1 (standardized mortality rates) 或经过调整的死亡率1 (adjusted mortality rates) ，以消除人口结构(144-4)不同所造成的影响。为了消除年龄这个因素的影响，对死亡率进行调整最常用的方法是使用一个具有一定年龄结构的标准人口2 (standard population) 来进行调整。如果掌握所研究人口的分组别率(134-6)，则可以使用直接标准化法3 (direct method of standardization) 。直接标准化法就是把这些分组别率分别用于标准人口各相应的年龄组。如果没有分组别率的材料，还可以使用间接标准化法4 (indirect method of standardization) 以求出标准化死亡率。常用的办法是，计算比较死亡率指标5 (compurgative mortality indices) 。其算法是，把标准人口的分年龄死亡率6 (standard mortality rates) 分别乘以所研究人口的各个组，再把这些数相加，即可得出预期死亡人数；然后将所研究人口的实际死亡人数7 (observed deaths) 与按标准率计算可能出现的预期死亡人数8 (expected deaths) 相比，即可求得比较死亡率指标。
备注：把粗死亡率(401-4)乘以一个比较死亡率指标，则可以得到一个间接标准化死亡率。在英国的正式术语中，当研究职业死亡率时，用直接标准化法求得的数字，叫作比较死亡率数字，而用间接标准化法求得的数字，叫作标准化死亡比。",章節 4 • 死亡和患病,"粗死亡率(401-4)既取決於死亡率水平，也取決於人口的結構[特別是年齡結構(325-6)]。如果要比較不同人口的死亡率，有時需要計算標準化死亡率1 (standardized mortality rates) 或經過調整的死亡率1 (adjusted mortality rates) ，以消除人口結構(144-4)不同所造成的影響。為了消除年齡這個因素的影響，對死亡率進行調整最常用的方法是使用一個具有一定年齡結構的標準人口2 (standard population) 來進行調整。如果掌握所研究人口的分組別率(134-6)，則可以使用直接標準化法3 (direct method of standardization) 。直接標準化法就是把這些分組別率分別用於標準人口各相應的年齡組。如果沒有分組別率的材料，還可以使用間接標準化法4 (indirect method of standardization) 以求出標準化死亡率。常用的辦法是，計算比較死亡率指標5 (compurgative mortality indices) 。其算法是，把標準人口的分年齡死亡率6 (standard mortality rates) 分別乘以所研究人口的各個組，再把這些數相加，即可得出預期死亡人數；然後將所研究人口的實際死亡人數7 (observed deaths) 與按標準率計算可能出現的預期死亡人數8 (expected deaths) 相比，即可求得比較死亡率指標。
備註：把粗死亡率(401-4)乘以一個比較死亡率指標，則可以得到一個間接標準化死亡率。在英國的正式術語中，當研究職業死亡率時，用直接標準化法求得的數字，叫作比較死亡率數字，而用間接標準化法求得的數字，叫作標準化死亡比。"
人口学词典,章节 4 • 死亡和患病,410,"未满周岁死亡的活产儿的死亡率，叫作婴儿死亡率1 (infant mortality) 。未满4周或28天[即所谓的新生儿期3 (neo-natal period) ]死亡的活产儿的死亡率，叫作新生儿死亡率2 (neo-natal mortality) 。出生一周内的死亡率，叫作新生儿早期死亡率4 (early neo-natal mortality) 。出生一周后、28天前的死亡率，叫作新生儿晚期死亡率6 (late neo-natal mortality) 。新生期后死亡率5 (post-neonatal mortality) 是指过了新生儿期但未满一周岁的死亡。
备注：在某些统计资料中，新生儿期是指出生后的第一个月。早期婴儿一词，有时也用来表示大致相当于新生儿期，如说“早期婴儿疾病”。",章節 4 • 死亡和患病,"未滿週歲死亡的活產兒的死亡率，叫作嬰兒死亡率1 (infant mortality) 。未滿4周或28天[即所謂的新生兒期3 (neo-natal period) ]死亡的活產兒的死亡率，叫作新生兒死亡率2 (neo-natal mortality) 。出生一週內的死亡率，叫作新生兒早期死亡率4 (early neo-natal mortality) 。出生一週後、28天前的死亡率，叫作新生兒晚期死亡率6 (late neo-natal mortality) 。新生期後死亡率5 (post-neonatal mortality) 是指過了新生兒期但未滿一週歲的死亡。
備註：在某些統計資料中，新生兒期是指出生後的第一個月。早期嬰兒一詞，有時也用來表示大致相當於新生兒期，如説“早期嬰兒疾病”。"
人口学词典,章节 4 • 死亡和患病,411,"胎儿死亡1 (foetal mortality) 一词，用来表示还没有脱离母体即死去的受孕体(602-6)，不论怀孕期(603-3)的长短。也可以使用子宫内死亡1 (intra-uterine mortality 或 mortality in utero) 等词语。与之相应的死亡分别叫作胎儿死亡2 (fetal deaths) 和子宫内死亡2 (intra-uterine deaths) 。早期胎儿死亡3 (early fetal mortality) 是指妊娠不到第20周者，中期胎儿死亡4 (intermediate fetal mortality) 则发生于妊娠第20和第28周之间。第28周之后，则为临产胎儿死亡5 (late fetal mortality) ，其产物叫作临产胎儿死亡5 (late fetal death) ，或者通俗地说，叫作死产5 (stillbirth) 。围产期死亡6 (prenatal mortality) 包括临产胎儿死亡和一部分婴儿死亡(或者是包括新生几早期死亡，或者是包括全部新生儿死亡)。胎婴死亡率7 (foeto-infant mortality) 包括死产和一岁以下儿童的死亡。
备注：也叫作妊娠浪费量。这些词语包括流产(603-5)、小产(604-1)和死产。 胎儿早期死亡一般也叫作小产。 Stillbirth，包括法国在内的某些国家中，登记前死去的活产儿，在法律上可以算为死产，叫作假死产。",章節 4 • 死亡和患病,"胎兒死亡1 (foetal mortality) 一詞，用來表示還沒有脱離母體即死去的受孕體(602-6)，不論懷孕期(603-3)的長短。也可以使用子宮內死亡1 (intra-uterine mortality 或 mortality in utero) 等詞語。與之相應的死亡分別叫作胎兒死亡2 (fetal deaths) 和子宮內死亡2 (intra-uterine deaths) 。早期胎兒死亡3 (early fetal mortality) 是指妊娠不到第20周者，中期胎兒死亡4 (intermediate fetal mortality) 則發生於妊娠第20和第28周之間。第28周之後，則為臨產胎兒死亡5 (late fetal mortality) ，其產物叫作臨產胎兒死亡5 (late fetal death) ，或者通俗地説，叫作死產5 (stillbirth) 。圍產期死亡6 (prenatal mortality) 包括臨產胎兒死亡和一部分嬰兒死亡(或者是包括新生幾早期死亡，或者是包括全部新生兒死亡)。胎嬰死亡率7 (foeto-infant mortality) 包括死產和一歲以下兒童的死亡。
備註：也叫作妊娠浪費量。這些詞語包括流產(603-5)、小產(604-1)和死產。 胎兒早期死亡一般也叫作小產。 Stillbirth，包括法國在內的某些國家中，登記前死去的活產兒，在法律上可以算為死產，叫作假死產。"
人口学词典,章节 4 • 死亡和患病,412,在一年中发生的未满一周岁的死亡数1 (deaths under one year of age) ，生后不到28天的死亡数和生后不到一周的死亡数与同年内活产人数之比，分别为婴儿死亡率2 (infant mortality rate) 、新生儿死亡率3 (neo-natal mortality rate) 和新生儿早期死亡率4 (early neo-natal mortality rate) 。这样的率，通常以每千个活产儿中的死亡人数来表示。如果死亡人数是按年龄和出生年交叉分类时，就可把出生后未满一岁死亡的人数按其所属的两批同批人分开。结果所得的指标则是经过调整的婴儿死亡率5 (adjusted infant mortality rate) ，它等于未满一岁的死亡概率5 (probability of dying before age one) 。如果没有这样的资料，则可估算一个分离因数6 (separation factors) ，从而把婴儿死亡人数分为本年（日历年）出生婴儿的死亡人数和上一年出生婴儿的死亡人数。,章節 4 • 死亡和患病,在一年中發生的未滿一週歲的死亡數1 (deaths under one year of age) ，生後不到28天的死亡數和生後不到一週的死亡數與同年內活產人數之比，分別為嬰兒死亡率2 (infant mortality rate) 、新生兒死亡率3 (neo-natal mortality rate) 和新生兒早期死亡率4 (early neo-natal mortality rate) 。這樣的率，通常以每千個活產兒中的死亡人數來表示。如果死亡人數是按年齡和出生年交叉分類時，就可把出生後未滿一歲死亡的人數按其所屬的兩批同批人分開。結果所得的指標則是經過調整的嬰兒死亡率5 (adjusted infant mortality rate) ，它等於未滿一歲的死亡概率5 (probability of dying before age one) 。如果沒有這樣的資料，則可估算一個分離因數6 (separation factors) ，從而把嬰兒死亡人數分為本年（日曆年）出生嬰兒的死亡人數和上一年出生嬰兒的死亡人數。
